"","TEAM_ABBREVIATION","ADV_TEAM_ABREVIATION","START_POSITION","MIN","FGM","FGA","FG3M","FG3A","FTM","FTA","OREB","DREB","AST","STL","BLK","TO","PF","PTS","PLUS_MINUS","RCK","WIN"
"4321","NYK","IND","Not Started",1502,6,9,0,0,2,2,2,5,1,2,3,1,1,14,-8,"Rookie","Lose"
"4322","NYK","IND","Not Started",833,3,6,2,4,0,0,0,1,0,0,0,1,1,8,-10,"Rookie","Lose"
"4325","NOP","DAL","Forward",1449,3,9,1,4,8,8,0,2,1,0,0,0,1,15,-24,"NoRookie","Lose"
"4326","NOP","DAL","Forward",1528,6,12,1,4,1,2,0,4,2,0,0,1,4,14,-21,"NoRookie","Lose"
"4327","NOP","DAL","Guard",1640,1,9,0,7,0,0,1,3,2,0,1,3,3,2,-28,"NoRookie","Lose"
"4328","NOP","DAL","Guard",1478,7,15,0,4,0,0,1,2,4,0,0,2,1,14,-28,"NoRookie","Lose"
"4329","NOP","DAL","Not Started",1362,3,8,0,0,0,0,2,1,3,1,1,4,4,6,-20,"NoRookie","Lose"
"4330","NOP","DAL","Not Started",1136,1,5,1,4,0,0,0,3,0,0,0,0,2,3,-22,"NoRookie","Lose"
"4331","NOP","DAL","Not Started",860,3,7,0,1,2,2,0,1,1,0,0,1,2,8,-12,"NoRookie","Lose"
"4334","DAL","NOP","Forward",1229,3,5,2,4,0,0,1,3,2,0,1,1,1,8,22,"NoRookie","Win"
"4335","DAL","NOP","Forward",1181,4,11,0,3,5,7,1,5,2,1,0,2,3,13,28,"NoRookie","Win"
"4336","DAL","NOP","Center",1126,2,2,0,0,0,0,1,5,0,3,0,1,1,4,18,"NoRookie","Win"
"4337","DAL","NOP","Guard",1172,5,10,1,5,3,3,1,2,3,1,0,0,3,14,19,"NoRookie","Win"
"4338","DAL","NOP","Not Started",229,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-5,"NoRookie","Win"
"4339","DAL","NOP","Not Started",1689,3,8,0,3,1,2,0,3,2,1,0,0,0,7,18,"NoRookie","Win"
"4340","DAL","NOP","Not Started",1362,6,7,0,0,3,4,2,14,2,0,2,2,3,15,18,"NoRookie","Win"
"4341","DAL","NOP","Not Started",1292,3,5,2,4,3,3,0,3,1,0,1,1,1,11,27,"NoRookie","Win"
"4342","DAL","NOP","Not Started",636,2,7,1,2,0,0,0,3,0,0,0,0,1,5,11,"NoRookie","Win"
"4343","DAL","NOP","Not Started",720,2,4,2,4,0,0,0,0,0,0,0,1,0,6,8,"NoRookie","Win"
"4344","NOP","DAL","Center",1518,3,7,0,0,5,6,3,2,0,1,0,0,3,11,-26,"Rookie","Lose"
"4345","NOP","DAL","Not Started",1618,2,5,0,3,0,1,0,4,1,1,0,1,1,4,-18,"Rookie","Lose"
"4346","NOP","DAL","Not Started",1289,3,10,0,4,1,2,1,3,2,1,0,2,0,7,-22,"Rookie","Lose"
"4347","NOP","DAL","Not Started",522,0,2,0,1,0,0,0,1,1,0,0,0,2,0,-9,"Rookie","Lose"
"4348","DAL","NOP","Guard",1571,8,15,2,8,8,10,0,6,9,1,0,2,2,26,28,"Rookie","Win"
"4349","DAL","NOP","Not Started",1101,2,6,1,3,2,2,2,1,1,0,0,1,1,7,19,"Rookie","Win"
"4350","DAL","NOP","Not Started",1093,6,6,2,2,0,0,0,2,3,1,0,1,0,14,19,"Rookie","Win"
"4351","LAL","POR","Forward",2025,11,23,4,9,5,7,1,6,8,0,1,3,1,31,21,"NoRookie","Win"
"4352","LAL","POR","Forward",1929,12,21,2,6,13,15,0,9,2,2,3,3,2,39,6,"NoRookie","Win"
"4353","LAL","POR","Center",925,6,7,0,0,1,1,1,2,0,0,2,0,3,13,5,"NoRookie","Win"
"4354","LAL","POR","Guard",1268,1,3,1,3,0,0,0,5,2,1,1,1,2,3,5,"NoRookie","Win"
"4355","LAL","POR","Guard",1621,1,3,1,3,2,2,0,0,5,1,0,0,1,5,8,"NoRookie","Win"
"4356","LAL","POR","Not Started",872,2,2,2,2,0,0,0,3,4,2,1,2,0,6,13,"NoRookie","Win"
"4357","LAL","POR","Not Started",1466,6,13,3,6,0,0,0,6,1,0,0,2,2,15,19,"NoRookie","Win"
"4358","LAL","POR","Not Started",757,3,5,3,5,0,0,0,1,1,1,0,1,3,9,7,"NoRookie","Win"
"4359","LAL","POR","Not Started",1426,2,4,1,1,3,4,0,1,2,1,0,1,4,8,13,"NoRookie","Win"
"4360","LAL","POR","Not Started",1280,1,1,0,0,3,4,1,9,0,2,0,2,5,5,14,"NoRookie","Win"
"4361","LAL","POR","Not Started",607,1,3,0,1,0,0,0,0,1,0,0,1,0,2,0,"NoRookie","Win"
"4362","LAL","POR","Not Started",224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,"NoRookie","Win"
"4363","POR","LAL","Forward",513,0,1,0,0,0,0,0,2,1,1,0,0,1,0,-2,"NoRookie","Lose"
"4364","POR","LAL","Forward",2071,4,13,1,3,6,7,1,2,1,3,0,4,4,15,-21,"NoRookie","Lose"
"4365","POR","LAL","Center",1925,8,12,0,0,1,2,3,7,2,3,1,1,3,17,-26,"NoRookie","Lose"
"4366","POR","LAL","Guard",2076,5,13,3,7,2,2,0,3,5,1,0,1,2,15,-24,"NoRookie","Lose"
"4367","POR","LAL","Guard",2444,9,18,2,8,9,11,0,7,8,0,0,4,0,29,-10,"NoRookie","Lose"
"4368","POR","LAL","Not Started",1022,1,4,0,2,2,2,0,2,1,0,0,1,5,4,-17,"NoRookie","Lose"
"4369","POR","LAL","Not Started",607,3,4,0,1,0,0,0,1,0,0,1,0,2,6,4,"NoRookie","Lose"
"4370","POR","LAL","Not Started",1499,3,9,1,5,3,3,0,2,0,0,0,3,5,10,-10,"NoRookie","Lose"
